8	3	A3	1	0	0	0	10
2C	1	28	FF	E8	FF	34	FF
2D	16	FF	2	FF	2	FE	D0
2E	FE	D0	1	7	0	3	FF
2F	31	FE	E6	FE	D2	FE	D2
20	FE	A0	FE	A0	1	12	0
21	18	FF	50	FE	EC	FE	D8
22	FE	D8	FE	A6	0	0	0
5	23	24	8	0	80	0	0
10	81	63	FE	A6	1	1F	0
30	12	0	68	3F	4C	0	68
21	11	FF	3F	FF	0D	FF	0D
22	FF	0D	FE	EF	FE	EF	1
23	2B	FF	B9	FF	37	FF	37
24	FF	37	FF	37	FF	19	FF
25	19	1	49	FF	EB	FF	55
26	FF	55	FF	55	FF	55	FF
27	55	FF	55	1	7A	FF	AE
28	FF	86	FF	86	FF	86	FF
29	86	FF	86	FF	86	1	8B
2A	FF	BF	FF	97	FF	97	FF
2B	97	FF	97	FF	97	FF	97
2C	7	8	8	98	0B	B8	0E
2D	10	0F	78	11	30	12	2C
2E	13	C0	15	40	16	44	17
2F	58	19	0	1A	90	1D	B0
20	1E	78	21	98	2	58	2
21	BC	2	EE	3	20	3	52
22	3	84	3	B6	0	0	0
5	23	24	8	80	80	0	0
10	81	63	3	D4	0	0	0
30	12	0	68	3F	4C	0	68
21	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0
25	0	FF	88	FF	88	FF	88
26	FF	6	FE	A2	FE	A2	FE
27	A2	FE	A2	1	24	FF	30
28	FF	30	FE	AE	FE	4A	FE
29	4A	FE	4A	FE	4A	1	28
2A	FF	E8	FF	34	FE	6C	FD
2B	A4	FD	A4	FD	A4	FD	A4
2C	1	28	FF	48	FF	34	FF
2D	2	FF	2	FF	2	FF	2
2E	FF	2	1	28	FF	48	FF
2F	34	FF	34	FF	34	FF	34
20	FF	2	FF	2	1	28	FF
21	A2	FF	34	FF	2	FE	EE
22	FE	EE	FE	BC	0	0	0
5	23	24	9	0	80	0	0
10	81	63	FE	BC	1	28	FF
30	12	0	68	3F	4C	0	68
21	DE	FF	5C	FE	BC	FE	58
22	FE	58	FE	58	FE	58	1
23	7	FF	B3	FF	13	FE	D7
24	FE	C3	FE	C3	FE	91	FE
25	91	1	12	FF	C8	FF	1E
26	FE	CE	FE	CE	FE	CE	FE
27	9C	FE	9C	1	1F	FF	D5
28	FF	2B	FE	DB	FE	DB	FE
29	DB	FE	A9	FE	A9	1	2B
2A	FF	B9	FF	37	FE	F1	FE
2B	F1	FE	F1	FE	BF	FE	BF
2C	1	49	0	4F	FF	69	FE
2D	FB	FE	FB	FE	FB	FE	C9
2E	FE	C9	1	7A	FF	86	FF
2F	86	FF	86	FF	86	FF	86
20	FF	86	FF	86	1	8B	FF
21	B5	FF	97	FF	97	FF	97
22	FF	97	FF	97	0	0	0
5	23	24	9	80	80	0	0
10	81	63	FF	97	7	8	8
30	12	0	68	3F	4C	0	68
21	98	0B	B8	0E	10	0F	78
22	11	30	12	2C	13	C0	15
23	40	16	44	17	58	19	0
24	1A	90	1D	B0	1E	78	21
25	98	2	58	2	BC	2	EE
26	3	20	3	52	3	84	3
27	B6	3	D4	0	0	0	0
28	0	0	0	0	0	0	0
29	0	0	0	0	0	0	0
2A	0	0	0	0	0	0	0
2B	0	0	0	0	0	0	0
2C	FF	88	FF	88	FF	88	FF
2D	88	FF	88	FF	88	FF	88
2E	FF	88	1	24	FF	30	FF
2F	30	FF	30	FF	30	FF	30
20	FF	12	FF	12	1	28	FF
21	34	FF	34	FF	34	FF	34
22	FF	34	FF	16	0	0	0
5	23	24	0A	0	80	0	0
10	81	63	FF	16	1	28	FF
30	12	0	68	3F	4C	0	68
21	34	FF	34	FF	34	FF	34
22	FF	34	FF	16	FF	16	1
23	28	FF	34	FF	34	FF	34
24	FF	34	FF	34	FF	16	FF
25	16	1	28	FF	5C	FF	34
26	FF	34	FF	34	FF	34	FF
27	16	FF	16	1	28	FF	E8
28	FF	34	FF	16	FF	2	FF
29	2	FE	D0	FE	D0	1	7
2A	0	3	FF	31	FE	E6	FE
2B	D2	FE	D2	FE	A0	FE	A0
2C	1	12	0	18	FF	50	FE
2D	EC	FE	D8	FE	D8	FE	A6
2E	FE	A6	1	1F	0	11	FF
2F	3F	FF	0D	FF	0D	FF	0D
20	FE	EF	FE	EF	1	2B	FF
21	B9	FF	37	FF	37	FF	37
22	FF	37	FF	19	0	0	0
5	23	24	0A	80	80	0	0
10	81	63	FF	19	1	49	FF
30	12	0	68	3F	4C	0	68
21	EB	FF	55	FF	55	FF	55
22	FF	55	FF	55	FF	55	1
23	7A	FF	AE	FF	86	FF	86
24	FF	86	FF	86	FF	86	FF
25	86	1	8B	FF	BF	FF	97
26	FF	97	FF	97	FF	97	FF
27	97	FF	97	7	8	8	98
28	0B	B8	0E	10	0F	78	11
29	30	12	2C	13	C0	15	40
2A	16	44	17	58	19	0	1A
2B	90	1D	B0	1E	78	21	98
2C	5	37	5	3A	7	0B	8
2D	6B	9	B3	9	BB	9	C1
2E	9	CA	9	D3	9	95	9
2F	3F	8	CA	8	6C	7	63
20	5	98	5	13	7	8	8
21	98	0B	B8	0E	10	0F	78
22	11	30	12	2C	0	0	0
5	23	24	0B	0	80	0	0
10	81	63	13	C0	15	40	16
30	12	0	68	3F	4C	0	68
21	44	17	58	19	0	1A	90
22	1D	B0	1E	78	21	98	4
23	B1	4	B4	6	57	7	93
24	8	BB	8	C2	8	C7	8
25	CF	8	D7	8	A0	8	52
26	7	E9	7	94	6	A6	5
27	9	4	91	7	8	8	98
28	0B	B8	0E	10	0F	78	11
29	30	12	2C	13	C0	15	40
2A	16	44	17	58	19	0	1A
2B	90	1D	B0	1E	78	21	98
2C	2	9B	2	9D	3	86	4
2D	35	4	DA	4	DE	4	E0
2E	4	E5	4	E9	4	CB	4
2F	9F	4	65	4	36	3	B2
20	2	CC	2	89	7	8	8
21	98	0B	B8	0E	10	0F	78
22	11	30	12	2C	0	0	0
5	23	24	0B	80	80	0	0
10	81	63	13	C0	15	40	16
30	12	0	68	3F	4C	0	68
21	44	17	58	19	0	1A	90
22	1D	B0	1E	78	21	98	3
23	E9	3	EB	5	49	6	50
24	7	46	7	4D	7	50	7
25	57	7	5E	7	30	6	EF
26	6	98	6	51	5	8B	4
27	32	3	CE	7	8	8	98
28	0B	B8	0E	10	0F	78	11
29	30	12	2C	13	C0	15	40
2A	16	44	17	58	19	0	1A
2B	90	1D	B0	1E	78	21	98
2C	5	37	5	3A	7	0B	8
2D	6B	9	B3	9	BB	9	C1
2E	9	CA	9	D3	9	95	9
2F	3F	8	CA	8	6C	7	63
20	5	98	5	13	2	BC	3
21	20	3	52	3	84	3	B6
